"Næring";"2020"
"Jordbruk, skogbruk og fiske";109
"Sekundærnæringer";2041
"Varehandel, hotell og restaurant, samferdsel, finanstjen., forretningsmessig tjen., eiendom";4498
"Off.adm., forsvar, sosialforsikring";995
"Undervisning";1035
"Helse- og sosialtjenester";3064
"Personlig tjenesteyting";430
