"Tjenesteområde";"2024"
"Aktivitetstilbud barn og unge";197
"Bibliotek";338
"Muséer";25
"Idrett og tilskudd til andres idrettsanlegg";52
"Kommunale idrettsbygg og idrettsanlegg";362
"Kulturskoler";276
"Kommunale kulturbygg";130
